OVERALL,POS,BYE,BEST,WORST,AVG,STD DEV,ADP,VS. ADP
Adam Shaheen,TE35,5,166,289,238.7,39.4,269,-16
Cairo Santos FA,K23,,162,295,248.2,47.1,335,49
Chester Rogers,WR95,9,172,295,249.7,40.1,311,24
Cordarrelle Patterson,WR96,11,149,302,232.5,46.5,266,-22
Corey Coleman FA,WR97,,143,414,235.4,57,277,-12
Antonio Callaway,WR98,11,161,306,238.8,40.2,290,0
Tyler Kroft,TE36,9,168,292,242.8,31.8,338,47
Ed Dickson,TE37,7,140,333,258.2,49.4,313,21
Gerald Everett,TE38,12,153,282,237.5,31.9,344,51
Laquon Treadwell,WR99,10,175,306,242.3,52.9,357,63
Dallas (DAL),DST26,8,184,338,269.7,49.1,253,-42
Detroit (DET),DST27,6,179,345,257.2,42.7,244,-52
Josh Allen,QB32,11,183,489,269.5,66.7,298,1
Marquez Valdes-Scantling,WR100,7,169,367,254.8,80,444,146
Baker Mayfield,QB33,11,174,508,272.2,66.2,235,-64
Michael Roberts,TE39,6,160,342,279.7,84.6,367,67
Christine Michael,RB79,9,167,421,263.9,78,354,53
Tampa Bay (TB),DST28,5,180,321,272.2,45.4,331,29
Boston Scott,RB80,6,169,423,304.6,63.6,377,74
Rashard Higgins,WR101,11,179,361,267.2,70,401,97
Mack Hollins,WR102,9,172,340,264.4,46.4,437,132
Lamar Jackson,QB34,10,172,511,287.1,70,257,-49
Jordan Akins,TE40,10,179,304,234.8,49.8,381,74
Seth Roberts,WR103,7,183,334,243.8,61,430,122
Mike Davis,RB81,7,175,362,307.2,50,424,115
Rico Gathers,TE41,8,176,339,286.8,66,273,-37
DeAndre Washington,RB82,7,183,315,272.4,35.2,389,78
Travis Benjamin,WR104,8,186,293,254.4,28.3,286,-26
Dustin Hopkins,K24,4,181,300,265.5,38.7,323,10
Phil Dawson,K25,9,182,304,276.8,33.5,322,8
Mark Walton,RB83,9,183,394,313.5,56.4,374,59
Blair Walsh FA,K26,,186,319,252.9,52.6,,
Keke Coutee,WR105,10,184,307,258.3,37.4,315,-2
Elijah McGuire,RB84,11,184,330,260.2,32.8,293,-25
Taylor Gabriel,WR106,5,186,293,258.1,31.1,301,-18
Kyle Juszczyk,RB85,11,188,323,260.3,40.9,445,125
Zay Jones,WR107,11,187,289,249.3,31.1,312,-9
Curtis Samuel,WR108,4,187,342,272,34.7,288,-34
Cody Parkey,K27,5,187,316,283.5,35.9,383,60
Chandler Catanzaro,K28,5,189,321,281.5,39.9,397,73
Virgil Green,TE42,8,191,322,251.5,47.3,333,8
Kapri Bibbs,RB86,4,191,302,260.7,49.5,,
Tavon Austin,WR109,8,191,324,269.1,38.8,283,-44
Rod Smith,RB87,8,192,311,270.8,38,272,-56
Josh Hill,TE43,6,193,391,263,68.6,482,153
Jaron Brown,WR110,7,195,316,249.4,25.9,356,26
J.J. Nelson,WR111,9,194,298,266.2,31,341,10
Nick Foles,QB35,9,198,509,301.4,82.8,285,-47
Nathan Peterman,QB36,11,199,510,304.7,90.1,421,88
C.J. Fiedorowicz FA,TE44,,215,231,223,8,,
Jordan Matthews FA,WR112,,202,280,242.9,23.8,236,-99
Jaylen Samuels,TE45,7,219,261,244.3,18.2,281,-55
Stephen Anderson FA,TE46,,213,272,249.8,20,330,-7
Jeremy Maclin FA,WR113,,224,270,251.4,15.2,329,-9
Charcandrick West FA,RB88,,235,273,258,16.5,436,97
Ameer Abdullah,RB89,6,218,329,259.1,33.8,289,-51
Brett Maher,K29,8,208,290,259.6,35.6,388,47
Ryan Griffin,TE47,10,210,297,260.6,23.8,297,-45
New York (NYJ),DST29,11,205,299,262.7,32.1,328,-15
Chris Herndon IV,TE48,11,245,301,266.8,23.2,477,133
Brice Butler FA,WR114,,220,313,271.2,27.9,349,4
Kenny Britt FA,WR115,,257,288,272.1,10.4,348,2
Jalen Richard,RB90,7,239,349,277.2,26.1,347,0
Adam Humphries,WR116,5,227,311,277.3,33.8,351,3
Torrey Smith,WR117,4,225,310,278.2,24,336,-13
Sebastian Janikowski,K30,7,232,323,278.3,32.7,337,-13
Tyler Higbee,TE49,12,248,328,278.7,29.8,398,47
Jonnu Smith,TE50,8,251,346,279.2,35.5,342,-10
Mark Andrews,TE51,10,232,334,279.3,41.1,267,-86
Randy Bullock,K31,9,268,291,279.5,11.5,,
Alfred Blue,RB91,10,207,324,280,37.3,364,9
Jonathan Williams,RB92,6,243,333,280.3,33,296,-60
Garrett Celek,TE52,11,255,333,280.3,25,320,-37
Charles Sims FA,RB93,,245,317,281.3,22.3,332,-26
Jason Sanders,K32,11,271,293,282,11,452,93
Jonathan Stewart,RB94,9,224,365,282.1,32,258,-102
Aldrick Rosas,K33,9,273,292,283,7.8,370,9
Giorgio Tavecchio FA,K34,,281,290,285.5,4.5,,
Josh McCown,QB37,11,206,512,286.4,74.7,345,-18
Jeff Heuerman,TE53,10,233,343,287.3,42,405,41
Kendall Wright FA,WR118,,236,337,287.8,24.7,399,34
Travaris Cadet FA,RB95,,242,318,290.7,25.1,304,-62
Equanimeous St. Brown,WR119,7,246,368,290.8,41.5,413,46
Jacquizz Rodgers,RB96,5,224,327,291.1,36.4,355,-13
Miami (MIA),DST30,11,248,319,292,27.5,339,-30
Brandon LaFell,WR120,7,255,348,292,27.8,362,-8
J'Mon Moore,WR121,7,264,313,292,20.6,300,-71
Ryan Fitzpatrick,QB38,5,201,507,293,88.2,358,-14
Zane Gonzalez,K35,11,292,296,294,2,429,56
Indianapolis (IND),DST31,9,291,298,294.5,3.5,,
Jeremy Kerley,WR122,11,216,351,295,57.5,453,78
Marcus Murphy,RB97,11,276,314,295,19,385,9
Jakeem Grant,WR123,11,221,371,296,75,221,-156
Oakland (OAK),DST32,7,274,310,297.3,14.8,366,-12
Keith Smith,RB98,7,285,313,299,14,456,77
Roger Lewis FA,WR124,,299,304,301.5,2.5,,
Thomas Rawls FA,RB99,,245,331,301.8,34.5,404,23
Cody Latimer,WR125,9,239,365,305,45.4,376,-6
De'Angelo Henderson,RB100,11,256,328,305.3,21.5,,
Josh Rosen,QB39,9,213,506,305.7,62,292,-92
Terrance West FA,RB101,,248,329,307.2,29.9,435,50
Joe Williams FA,RB102,,250,382,307.6,33.5,327,-59
Damien Williams,RB103,12,224,353,308,44.6,,
Justin Jackson FA,RB104,,224,432,312.5,54.8,,
Shane Vereen,RB105,6,252,376,314,62,346,-43
Jermaine Gresham,TE54,9,254,366,314.3,46.1,462,72
DaeSean Hamilton,WR126,10,299,352,317.3,24.5,426,35
Bruce Ellington,WR127,10,267,363,318.3,39.5,433,41
Dalton Schultz,TE55,8,210,408,322.7,83.1,,
Raheem Mostert,RB106,11,277,370,323.5,46.5,,
Malcolm Brown,RB107,12,216,425,323.7,85.4,308,-87
Chris Moore,WR128,10,262,362,324.3,44.4,461,65
Jordan Leggett,TE56,11,280,374,327,47,372,-25
Orleans Darkwa FA,RB108,,327,330,328.7,1.2,373,-25
Chris Conley,WR129,12,322,336,329,7,454,55
Demetrius Harris,TE57,12,285,371,331.7,35.5,466,66
Logan Thomas,TE58,11,282,382,332,50,,
Darrel Williams,RB109,12,331,333,332,1,,
Robert Turbin,RB110,9,316,395,335.4,24,360,-43
A.J. Derby,TE59,11,258,393,338.3,58,472,68
Levine Toilolo,TE60,6,268,412,340,72,,
Seth DeValve,TE61,11,288,378,340.7,38.3,467,61
Jacob Hollister,TE62,11,287,397,342,55,441,34
Clive Walford FA,TE63,,280,406,343,63,407,-1
Cameron Artis-Payne,RB111,4,328,389,344.5,25.7,306,-103
AJ McCarron,QB40,7,252,524,346.8,105.1,350,-60
Maxx Williams,TE64,10,289,405,347,58,,
Benny Cunningham,RB112,5,316,373,347,23.5,473,61
Lance Kendricks,TE65,7,344,350,347,3,470,57
Wendell Smallwood,RB113,9,274,418,348.3,58.9,369,-45
T.J. Logan,RB114,9,312,387,349.5,37.5,,
Ryan Switzer,WR130,7,298,427,350.3,55.4,208,-208
Ito Smith,RB115,8,314,399,351,33.5,,
TJ Jones,WR131,6,343,360,351.5,8.5,451,33
Teddy Bridgewater,QB41,6,269,531,354.4,96.5,412,-7
Jacoby Brissett,QB42,9,228,514,356,107.3,343,-77
Jarius Wright,WR132,4,304,415,359.5,55.5,,
Josh Reynolds,WR133,12,338,386,362,24,485,63
Tyler Ervin,RB116,10,356,372,364,8,379,-44
Deonte Thompson,WR134,8,341,388,364.5,23.5,419,-5
Demarcus Robinson,WR135,12,358,380,369,11,464,39
Justin Hardy,WR136,8,354,385,369.5,15.5,414,-12
Amara Darboh FA,WR137,,268,475,371.5,103.5,450,23
Josh Malone,WR138,9,369,374,371.5,2.5,,
Andre Holmes,WR139,11,373,377,375,2,,
ArDarius Stewart,WR140,11,340,422,381,41,,
J.D. McKissic,RB117,7,355,409,382,27,363,-68
Niles Paul,TE66,9,379,407,393,14,455,23
Chad Kelly,QB43,10,275,516,395.5,120.5,,
Zach Line,RB118,6,370,428,399,29,,
Sean Culkin,TE67,8,361,457,409,48,,
De'Anthony Thomas,WR141,12,367,459,413,46,475,39
Nick O'Leary FA,TE68,,381,460,420.5,39.5,478,41
Jaleel Scott,WR142,10,368,477,422.5,54.5,,
Tyler Conklin,TE69,11,384,463,423.5,39.5,,
Michael Campanaro,WR143,8,359,497,428,69,,
