OVERALL,POS,Best,Worst,Avg,Std Dev,ADP,vs. ADP
Marquess Wilson,WR74,117,296,188.5,46.3,301,89
Marqise Lee,WR75,127,273,191,41.7,261,48
Cincinnati Bengals (7),DST13,146,247,179.3,26.6,278,64
James Starks,RB71,147,201,182.1,14.2,259,44
Cole Beasley,WR76,134,235,185.2,34.7,260,44
Rob Housler,TE31,148,288,199.5,48.6,340,123
Stedman Bailey,WR77,116,278,185,43.5,289,71
Blake Bortles,QB27,136,239,186.2,31.2,190,-29
Leonard Hankerson,WR78,133,225,178.2,26.6,285,65
Danny Amendola,WR79,143,358,203.3,52.4,349,128
Tyler Lockett,WR80,122,283,198,46.6,266,44
Jaelen Strong,WR81,140,334,207.9,60.7,243,20
Karlos Williams,RB72,145,329,194.9,48.9,216,-8
Kansas City Chiefs (9),DST14,130,207,178.6,24.3,212,-13
Jerricho Cotchery,WR82,114,277,197.3,47.6,350,124
Reggie Wayne,WR83,113,328,212.1,71.2,157,-70
Virgil Green,TE32,126,285,187.8,49.8,292,64
Brian Hartline,WR84,120,255,197.6,42.7,296,67
Greg Jennings,WR85,155,257,195.4,28.7,323,93
Jacob Tamme,TE33,170,274,199.8,31.5,358,127
Kamar Aiken,WR86,154,249,194.3,32.6,354,122
Detroit Lions (9),DST15,133,214,175.6,26.5,281,48
Damien Williams,RB73,143,291,209.3,51.9,299,65
Kirk Cousins,QB28,129,264,196.8,53.7,308,73
Chris Johnson,RB74,97,276,207.8,60,232,-4
Bilal Powell,RB75,132,312,209.3,47.8,367,130
Nick Foles,QB29,132,263,193.3,36.2,210,-28
Ryan Fitzpatrick,QB30,141,405,228,84.2,173,-66
Philly Brown,WR87,152,253,200.1,32.9,365,125
Philadelphia Eagles (8),DST16,152,226,187.5,22,175,-66
San Francisco 49ers (10),DST17,154,294,203,50.9,337,95
Branden Oliver,RB76,147,342,220.4,60.1,220,-23
Mohamed Sanu,WR88,169,275,214.9,39.9,200,-44
Josh Huff,WR89,171,282,214.4,40,293,48
Stephen Gostkowski,K1,149,199,178.3,18.5,143,-103
Antone Smith,RB77,150,311,218.6,51.6,339,92
Adam Vinatieri,K2,153,201,178.3,17.6,168,-80
Indianapolis Colts (10),DST18,155,293,204.5,52.6,288,39
Dan Bailey,K3,156,204,182.3,18.7,213,-37
Minnesota Vikings (5),DST19,144,251,193,44.1,225,-26
Stevan Ridley,RB78,176,325,220.1,51.3,263,11
Justin Tucker,K4,158,198,183.3,15.6,218,-35
Benny Cunningham,RB79,137,306,225.7,53.4,369,115
Cody Parkey,K5,152,203,184.3,19.9,199,-56
Steven Hauschka,K6,154,200,184,17.8,194,-62
Cleveland Browns (11),DST20,154,234,200,29.7,309,52
Mason Crosby,K7,155,202,184.8,17.8,183,-75
Geno Smith,QB31,138,456,300.8,120.6,303,44
New York Giants (11),DST21,151,257,198.7,43.9,302,42
Matt Cassel,QB32,139,459,338,141.8,189,-72
Harry Douglas,WR90,172,289,217.9,41.8,311,49
Tyrod Taylor,QB33,160,381,239.7,74.3,222,-41
Josh McCown,QB34,142,425,255,104.3,249,-15
Jonathan Grimes,RB80,166,357,232.4,69.4,388,123
Mark Sanchez,QB35,144,461,318.8,119.1,325,59
E.J. Manuel,QB36,145,431,277,117.8,372,105
De'Anthony Thomas,RB81,173,405,266.2,86.7,343,75
Justin Hunter,WR91,174,424,243.1,80.9,297,28
Matt Bryant,K8,157,219,193.5,23.1,228,-42
Robert Woods,WR92,184,271,204,26.3,330,59
Brian Hoyer,QB37,151,452,258.5,115,185,-87
Tennessee Titans (4),DST22,160,297,216.3,58.5,381,108
Dallas Cowboys (6),DST23,168,215,189.7,19.4,214,-60
Bernard Pierce,RB82,158,395,276.5,118.5,396,121
Blair Walsh,K9,159,265,208.8,37.6,329,53
Tampa Bay Buccaneers (6),DST24,169,259,206.3,38.3,197,-80
Garrett Graham,TE34,172,279,216,36.9,405,127
Marcedes Lewis,TE35,160,317,235.7,64.2,438,159
Matt Prater,K10,160,229,202,25.5,231,-49
Rod Streater,WR93,162,302,241,56.7,430,149
Jeremy Langford,RB83,164,305,227,58.5,290,8
Nate Washington,WR94,166,286,237.2,41.5,348,65
Chicago Bears (7),DST25,172,279,215.3,46,306,22
Brandon Bolden,RB84,178,370,247,76.3,351,66
Jacquizz Rodgers,RB85,182,298,234.6,50.3,370,84
Darren Fells,TE36,168,321,231.7,65,432,145
Jacksonville Jaguars (8),DST26,180,292,234.3,49.7,357,69
Dennis Pitta,TE37,171,347,259,88,408,119
Brandon McManus,K11,177,272,215.3,40.9,291,1
Clive Walford,TE38,180,244,205.8,23.8,360,69
New Orleans Saints (11),DST27,182,193,187.5,5.5,368,76
Jarius Wright,WR95,180,301,243.6,47.1,395,102
Travaris Cadet,RB86,176,270,237,36.2,327,33
Toby Gerhart,RB87,179,322,246,51.9,237,-58
Pierre Thomas FA,RB88,177,287,232,55,269,-27
Jeremy Kerley,WR96,180,339,265.8,57,428,131
Dustin Hopkins,K12,181,273,231.8,36.2,239,-59
Aaron Dobson,WR97,182,399,299,89.4,385,86
Jeff Cumberland,TE39,185,323,233,49.3,353,53
Jermaine Kearse,WR98,183,295,241.8,42.8,361,60
Pittsburgh Steelers (11),DST28,185,264,216,34.4,331,29
Dexter McCluster,WR99,187,369,258,72.8,346,43
Taylor Gabriel,WR100,192,252,217.2,22.6,402,98
Scott Chandler,TE40,186,304,241.7,48.4,352,47
San Diego Chargers (10),DST29,189,292,226.3,46.6,176,-130
Albert Wilson,WR101,194,287,232.7,40.9,407,100
Brent Celek,TE41,190,266,218.7,33.7,393,85
Juwan Thompson,RB89,190,290,245.3,41.5,274,-35
Josh Robinson,RB90,192,254,221,25.5,286,-24
Cordarrelle Patterson,WR102,194,303,251.3,38.7,253,-58
Atlanta Falcons (10),DST30,194,288,228.3,42.4,394,82
Devin Smith,WR103,195,371,281,82.7,383,70
Hakeem Nicks,WR104,197,354,263.7,66.6,355,41
Washington Redskins (8),DST31,196,209,202.5,6.5,273,-42
Oakland Raiders (6),DST32,197,229,213,16,375,59
Nick Toon,WR105,198,344,271,73,279,-38
Zac Stacy,RB91,199,343,260.4,46.9,298,-20
Riley Cooper,WR106,200,297,264,37.6,204,-115
Tavon Austin,WR107,201,305,249,38.3,287,-33
Lance Kendricks,TE42,202,294,247.3,33.9,410,89
Caleb Sturgis,K13,205,298,242.3,36.7,310,-12
Garrett Hartley,K14,205,214,209.5,4.5,265,-58
Josh Brown,K15,206,248,224,17.7,316,-8
Chandler Catanzaro,K16,209,270,242.8,24,332,7
Josh Scobee,K17,210,299,249,34.3,313,-13
Nick Novak,K18,210,271,233.8,25,318,-9
Robbie Gould,K19,211,219,215,4,247,-81
Tim Wright,TE43,212,386,301.7,71.1,387,58
Phil Dawson,K20,212,296,252.3,36.7,335,5
Dan Carpenter,K21,213,295,252.8,37.9,276,-55
Crockett Gillmore,TE44,214,286,248,30.3,377,45
Cairo Santos,K22,216,299,246,37.6,336,3
Graham Gano,K23,216,271,240.3,22.9,338,4
Randy Bullock,K24,217,297,259.5,37.2,342,7
Andre Holmes,WR108,218,348,271,55.7,366,30
Mike Nugent,K25,218,300,253.5,35.9,322,-15
Andre Roberts,WR109,218,285,260.3,25.7,427,89
Jermaine Gresham,TE45,219,281,255.7,26.5,397,58
Greg Zuerlein,K26,220,290,244,32.5,294,-46
Chris Conley,WR110,221,316,265,39.1,328,-13
Sebastian Janikowski,K27,222,225,223.5,1.5,272,-70
Kai Forbath,K28,223,225,224,1,422,79
Nick Folk,K29,224,246,235,11,334,-10
Andrew Quarless,TE46,225,313,261.7,37.4,333,-12
Ryan Succop,K30,227,258,242.5,15.5,424,78
