OVERALL,POS,BYE,BEST,WORST,AVG,STD DEV,ADP,VS. ADP
Saquon Barkley,RB1,11,1,9,1.7,1.1,1,0
Ezekiel Elliott,RB2,8,1,6,2.5,1.3,4,2
Alvin Kamara,RB3,9,1,11,3,1.1,3,0
Christian McCaffrey,RB4,7,1,12,3.1,1.4,2,-2
Nick Chubb,RB5,7,2,20,7.5,3.8,10,5
David Johnson,RB6,12,1,42,8,5,9,3
DeAndre Hopkins,WR1,10,4,21,8.6,2,5,-2
James Conner,RB7,7,2,46,8.7,4.1,6,-2
Davante Adams,WR2,11,5,24,10.6,2.8,8,-1
Le'Veon Bell,RB8,4,2,42,12.1,5.9,7,-3
Julio Jones,WR3,9,6,28,12.9,4.2,14,3
Dalvin Cook,RB9,12,5,42,13.7,5.8,15,3
Odell Beckham Jr.,WR4,7,5,25,13.7,3.8,18,5
Tyreek Hill,WR5,12,7,93,15.3,7.6,16,2
Travis Kelce,TE1,12,7,37,15.6,3.2,20,5
Joe Mixon,RB10,9,5,38,15.9,6.3,19,3
Todd Gurley,RB11,9,2,62,16.4,8.7,11,-6
JuJu Smith-Schuster,WR6,7,6,30,16.5,4.5,17,-1
Michael Thomas,WR7,9,8,35,17.7,3.9,13,-6
Mike Evans,WR8,7,11,34,20.2,3.3,22,2
Keenan Allen,WR9,12,15,46,25.5,4.3,26,5
Chris Carson,RB12,11,7,82,25.9,9.6,30,8
Aaron Jones,RB13,11,7,64,26.2,8.5,28,5
Leonard Fournette,RB14,10,5,73,27.2,8.5,21,-3
Kerryon Johnson,RB15,5,8,61,29.1,8,27,2
Adam Thielen,WR10,12,19,62,29.9,6.1,24,-2
Amari Cooper,WR11,8,15,59,30.7,6.9,34,7
Sony Michel,RB16,10,14,84,31.5,10.5,44,16
Derrick Henry,RB17,11,6,72,31.5,11,36,7
Brandin Cooks,WR12,9,20,69,31.6,5.7,40,10
Devonta Freeman,RB18,9,7,58,32.3,8.4,33,2
George Kittle,TE2,4,16,101,33.6,7.6,31,-1
Stefon Diggs,WR13,12,20,61,34.8,7.3,35,2
Patrick Mahomes,QB1,12,7,65,35,8.7,12,-22
Robert Woods,WR14,9,13,74,36.6,7.8,42,7
Zach Ertz,TE3,10,19,78,37.1,8.9,29,-7
Tyler Lockett,WR15,11,20,86,38.2,11.7,46,9
Josh Jacobs,RB19,6,17,158,38.3,11.9,32,-6
Marlon Mack,RB20,6,9,91,38.5,11.4,39,0
Chris Godwin,WR16,7,21,83,40.4,9.4,50,10
David Montgomery,RB21,6,10,201,42.1,18.2,38,-3
Mark Ingram,RB22,8,18,76,43,9.4,41,-1
Julian Edelman,WR17,10,23,88,45.1,9.9,43,0
Kenny Golladay,WR18,5,27,102,45.2,9.1,49,5
Damien Williams,RB23,12,17,98,45.9,14.7,25,-20
T.Y. Hilton,WR19,6,23,119,46.8,13.1,45,-1
Deshaun Watson,QB2,10,22,80,50.8,9.2,37,-10
Antonio Brown,WR20,10,19,241,51.1,28.4,23,-25
Cooper Kupp,WR21,9,26,107,52,12.2,51,2
O.J. Howard,TE4,7,23,91,52.8,9.4,55,5
Phillip Lindsay,RB24,10,27,91,54.2,11.4,52,1
Tevin Coleman,RB25,4,22,148,56.5,12.9,56,4
Mike Williams,WR22,12,27,91,57,12.4,59,6
Tyler Boyd,WR23,9,30,97,59.8,13.8,57,3
D.J. Moore,WR24,7,31,133,60.3,14.3,67,12
Evan Engram,TE5,11,17,131,60.3,11.8,61,5
Calvin Ridley,WR25,9,30,96,60.5,12,53,-4
Hunter Henry,TE6,12,23,129,61,13.1,66,8
Aaron Rodgers,QB3,11,32,118,61.8,10.8,47,-12
Allen Robinson,WR26,6,30,111,62.8,13.3,77,17
Alshon Jeffery,WR27,10,36,121,64.5,12.6,63,2
Duke Johnson,RB26,10,27,145,66.7,21,70,8
Miles Sanders,RB27,10,36,236,67,26.3,68,5
Austin Ekeler,RB28,12,23,190,67.2,16.8,58,-6
Melvin Gordon,RB29,12,5,200,67.9,29.1,48,-17
James White,RB30,10,45,126,68.9,13.2,64,-2
Derrius Guice,RB31,10,33,136,69.1,17.5,73,6
Latavius Murray,RB32,9,24,153,69.3,15.7,83,15
Robby Anderson,WR28,4,42,125,69.5,13,78,9
Baker Mayfield,QB4,7,31,119,70.2,12.3,54,-16
Matt Ryan,QB5,9,25,138,74.4,15.4,62,-9
Kenyan Drake,RB33,5,26,208,75.5,18.4,74,2
A.J. Green,WR29,9,25,142,78.9,21.6,60,-13
Carson Wentz,QB6,10,54,162,81.7,14.9,72,-2
Jarvis Landry,WR30,7,31,141,82.2,14.1,69,-6
Matt Breida,RB34,4,35,220,82.7,26.9,97,21
Cam Newton,QB7,7,37,149,83.5,13.3,89,12
Devin Singletary,RB35,6,38,186,83.7,24.7,99,21
Tarik Cohen,RB36,6,33,149,84,19.1,76,-3
Sammy Watkins,WR31,12,42,156,84.8,14.2,86,6
Rashaad Penny,RB37,11,47,199,85,20.7,100,19
Will Fuller,WR32,10,42,166,85.3,15.1,81,-1
Curtis Samuel,WR33,7,44,163,85.4,14.9,98,15
Royce Freeman,RB38,10,42,147,85.5,19.7,112,28
Christian Kirk,WR34,12,49,137,87.1,13.2,90,5
LeSean McCoy,RB39,12,36,162,87.3,20.6,94,8
Jared Cook,TE7,9,16,144,87.4,16.7,75,-12
Dede Westbrook,WR35,10,34,151,88.1,17.2,80,-8
Marvin Jones,WR36,5,58,158,88.2,14.1,93,4
Russell Wilson,QB8,11,49,156,90.4,17.4,82,-8
Corey Davis,WR37,11,44,161,92.3,17.2,92,1
Jordan Howard,RB40,10,55,240,93.4,25.3,87,-5
Jared Goff,QB9,9,57,227,94.6,14.7,79,-14
Sterling Shepard,WR38,11,52,141,95.9,13.9,91,-3
Vance McDonald,TE8,7,55,181,95.9,19.8,85,-10
Josh Gordon,WR39,10,26,289,67.6,29.3,65,-31
Dante Pettis,WR40,4,52,161,97.1,18.1,109,12
Drew Brees,QB10,9,32,164,98.5,16.5,71,-27
Jameis Winston,QB11,7,50,152,98.9,15.5,103,4
David Njoku,TE9,7,53,204,100.2,21.4,101,1
Lamar Jackson,QB12,8,55,215,106.2,18.5,106,5
Kalen Ballage,RB41,5,55,204,106.5,22.4,130,28
