OVERALL,POS,BYE,BEST,WORST,AVG,STD DEV,ADP,VS. ADP
Kyler Murray,QB13,12,52,237,108.1,24.8,108,5
Darrell Henderson,RB42,9,37,244,109.2,29.7,102,-2
Peyton Barber,RB43,7,57,192,109.4,23.6,107,2
Courtland Sutton,WR41,10,73,166,110,16,115,9
Larry Fitzgerald,WR42,12,72,163,110.5,16.6,104,-3
Ben Roethlisberger,QB14,7,63,166,112.3,18.3,96,-12
Dak Prescott,QB15,8,56,207,113.3,18.4,122,13
Marquez Valdes-Scantling,WR43,11,67,208,114.6,18.8,113,3
DeSean Jackson,WR44,10,51,191,115.2,17.6,127,16
Geronimo Allison,WR45,11,71,163,115.8,17.2,120,8
Michael Gallup,WR46,8,61,233,118.9,23,132,19
Emmanuel Sanders,WR47,10,60,216,117.6,23.5,88,-26
John Brown,WR48,6,58,196,123.4,17.2,142,27
Tyrell Williams,WR49,6,69,243,124.1,28.8,139,23
Philip Rivers,QB16,12,68,178,125.2,18.9,116,-1
Justice Hill,RB44,8,57,253,125.3,39.3,148,30
Austin Hooper,TE10,9,66,211,125.6,24.9,129,10
Carlos Hyde,RB45,10,75,177,126.6,22.6,151,31
Donte Moncrief,WR50,7,50,222,126.8,23,135,14
Justin Jackson,RB46,12,71,303,124.3,37.7,128,6
Anthony Miller,WR51,6,63,227,120.9,18.9,144,21
Delanie Walker,TE11,11,77,274,129.3,25.6,117,-7
Dion Lewis,RB47,11,69,262,130,27.1,131,6
Mitch Trubisky,QB17,6,62,224,131.6,23.2,141,15
Tom Brady,QB18,10,64,209,131.9,20.7,105,-22
Adrian Peterson,RB48,10,57,254,123.8,31.5,123,-5
Jamison Crowder,WR52,4,78,233,135.5,21.3,165,36
Eric Ebron,TE12,6,78,273,136.5,35.9,95,-35
Mark Andrews,TE13,8,85,274,134.7,35.4,140,9
Kirk Cousins,QB19,12,83,194,133.7,20.8,134,2
Josh Allen,QB20,6,81,243,139.5,22.6,154,21
James Washington,WR53,7,93,268,139.5,24.3,119,-15
Keke Coutee,WR54,10,87,217,144.2,22.5,158,23
Jaylen Samuels,RB49,7,70,253,139.6,28.9,137,1
Darwin Thompson,RB50,12,83,295,152.9,41.1,121,-16
Ronald Jones II,RB51,7,70,400,132,40.5,149,11
D.K. Metcalf,WR55,11,75,276,150.9,32,145,6
Golden Tate,WR56,11,76,228,144.7,25,146,6
Jimmy Garoppolo,QB21,4,81,206,150.8,23.6,150,9
Nyheim Hines,RB52,6,79,251,151,31.8,183,41
Albert Wilson,WR57,5,82,294,155.9,36.6,205,62
Trey Burton,TE14,6,100,284,158.3,36.8,152,8
Marquise Goodwin,WR58,4,106,271,153.7,30.4,175,30
Damien Harris,RB53,10,68,330,147.3,39.6,159,13
Kenny Stills,WR59,10,92,257,150.1,29.3,187,40
Sam Darnold,QB22,4,84,244,157.5,24.3,186,38
Mohamed Sanu,WR60,9,108,266,164.4,29.6,180,31
Ito Smith,RB54,9,88,416,149.3,42.2,164,14
Greglsen,TE15,7,63,297,165.5,41.2,147,-4
C.J. Anderson,RB55,5,84,272,152.3,34.2,189,37
Frank Gore,RB56,6,68,297,151.6,43,212,59
Devin Funchess,WR61,6,95,264,160,31.3,200,46
Jimmy Graham,TE16,11,60,294,180.7,42.8,177,22
Alexander Mattison,RB57,12,88,297,160.1,37.7,153,-3
Tre'Quan Smith,WR62,9,86,267,162.4,26.6,208,51
Kyle Rudolph,TE17,12,98,274,182.7,36.2,169,11
DaeSean Hamilton,WR63,10,103,275,168.2,27.9,204,45
Tony Pollard,RB58,8,67,388,160.4,47.7,114,-46
Adam Humphries,WR64,11,108,267,179.4,28.8,221,60
Matthew Stafford,QB23,5,112,283,177.2,26,166,4
Giovani Bernard,RB59,9,112,402,171.3,36,225,62
Kareem Hunt,RB60,7,70,256,172.2,41.7,110,-54
Derek Carr,QB24,6,113,285,184.8,27.6,182,17
Jordan Reed,TE18,10,95,291,195.5,44.2,174,8
Devante Parker,WR65,5,93,285,180.7,35.6,207,40
Chicago (CHI),DST1,6,109,268,162.5,23.4,84,-84
Chris Thompson,RB61,10,109,289,175.3,34.9,190,21
Deebo Samuel,WR66,4,93,282,174.5,37.7,170,0
Jacksonville (JAC),DST2,10,128,272,170.4,22,125,-46
Jamaal Williams,RB62,11,79,258,173.6,35.5,193,21
Chris Herndon IV,TE19,4,93,295,196.8,47.9,219,46
Mike Davis,RB63,6,75,295,172.2,38.4,235,61
Los Angeles (LAR),DST3,9,130,276,170.4,19.6,111,-64
T.J. Hockenson,TE20,5,79,291,194.4,46.7,136,-40
Baltimore (BAL),DST4,8,113,337,173.9,26.8,133,-44
Jack Doyle,TE21,6,106,293,195.4,44.4,210,32
Malcolm Brown,RB64,9,88,327,176.2,41.8,198,19
Minnesota (MIN),DST5,12,136,297,173.4,20.9,126,-54
Andy Dalton,QB25,9,94,259,194.2,23.1,251,70
Greg Zuerlein,K1,9,134,278,179.9,17.1,118,-64
Los Angeles (LAC),DST6,12,132,316,175.2,23.3,168,-15
Cleveland (CLE),DST7,7,133,346,179.3,24.3,162,-22
Jacoby Brissett,QB26,6,105,258,179.5,28.4,243,58
Houston (HOU),DST8,10,140,285,182.8,22.6,157,-29
Justin Tucker,K2,8,140,281,183.4,18.5,124,-63
Quincy Enunwa,WR67,4,111,286,191.4,28.4,247,59
Marquise Brown,WR68,8,74,277,191.9,39.5,184,-5
Darren Waller,TE22,6,84,284,173.6,48.3,194,4
Harrison Butker,K3,12,112,281,184.6,16.9,138,-53
Stephen Gostkowski,K4,10,142,282,187.6,19.2,143,-49
Dallas Goedert,TE23,10,91,297,210,42.4,224,31
Nick Foles,QB27,10,103,329,199.6,29,195,1
Newrleans (NO),DST9,9,141,282,182.3,20.2,176,-19
Wil Lutz,K5,9,156,312,190,20.6,171,-25
New England (NE),DST10,10,146,289,189.5,22.1,156,-41
Chase Edmonds,RB65,12,108,415,192.5,40.4,239,41
Jalen Richard,RB66,6,108,308,197.3,40.8,196,-3
Denver (DEN),DST11,10,142,273,184,19.5,155,-45
Trey Quinn,WR69,10,106,294,201.5,40.2,264,63
Mecole Hardman,WR70,12,101,311,190.3,40.7,185,-17
Ka'imi Fairbairn,K6,10,150,333,193.5,25.8,160,-43
Gus Edwards,RB67,8,94,263,181.1,34.1,231,27
Zay Jones,WR71,6,107,296,199.7,37.2,197,-8
Ted Ginn,WR72,9,130,296,204.7,34.5,246,40
Ty Montgomery,RB68,4,98,417,194.5,49,209,2
Mason Crosby,K7,11,158,354,198.1,25.6,203,-5
Marcus Mariota,QB28,11,101,328,214.8,25.4,229,20
Jake Elliott,K8,10,159,371,197.5,25.2,178,-32
Buffalo (BUF),DST12,6,149,279,190.7,22.7,161,-50
Noah Fant,TE24,10,89,302,220.9,40.4,191,-21
Dallas (DAL),DST13,8,132,307,198.2,26.9,163,-50
Parris Campbell,WR73,6,110,296,206,38.1,227,13
Philadelphia (PHI),DST14,10,123,286,205.8,25.5,179,-36
T.J. Yeldon,RB69,6,109,321,211.4,31.5,245,29
Brett Maher,K9,8,160,297,202.2,25.6,218,1
Robbie Gould,K10,4,162,295,202.4,25.7,167,-51
Michael Badgley,K11,12,163,299,203.4,26.8,181,-38
Robert Foster,WR74,6,77,295,199.4,48.6,258,38
Matt Prater,K12,5,161,305,211.4,29.7,206,-15
Ryquell Armstead,RB70,10,139,414,206.1,37.6,255,33
Joe Flacco,QB29,10,139,330,225.7,24.5,273,50
Seattle (SEA),DST15,11,128,298,209.2,26.6,172,-52
Taylor Gabriel,WR75,6,138,300,221,33.5,313,88
Rex Burkhead,RB71,10,79,403,213,38.2,312,86
Marqise Lee,WR76,10,121,303,219.5,38,201,-26
Pittsburgh (PIT),DST16,7,166,288,219.9,24.3,192,-36
Rashard Higgins,WR77,7,97,379,213.1,46.7,256,27
Randall Cobb,WR78,8,134,294,226.1,30.9,232,2
A.J. Brown,WR79,11,96,289,226.9,33.6,230,-1
D.J. Chark,WR80,10,134,296,226,31.6,291,59
Tyler Eifert,TE25,9,131,310,233.5,39.2,241,8
Paul Richardson,WR81,10,121,296,220.2,38.5,265,31
Cole Beasley,WR82,6,129,297,221.3,42,261,26
Ryan Fitzpatrick,QB30,5,88,343,237.7,23,323,87
Eli Manning,QB31,11,157,338,239.2,22.2,317,80
Nelson Agholor,WR83,10,118,292,231.1,28.9,202,-36
David Moore,WR84,11,114,296,221.6,32.7,300,61
Daregunbowale,RB72,7,102,327,188.1,43.9,199,-41
Tennessee (TEN),DST17,11,172,303,232.8,29.6,223,-18
Andy Isabella,WR85,12,127,293,228,35.7,238,-4
Indianapolis (IND),DST18,6,164,313,243.3,35.4,215,-28
N'Keal Harry,WR86,10,74,354,197.5,59.2,173,-71
Miles Boykin,WR87,8,112,300,216,48.7,213,-32
Kansas City (KC),DST19,12,169,304,234.8,33.7,188,-58
Jason Myers,K13,11,182,309,241.4,29.5,217,-30
Adam Vinatieri,K14,6,166,308,236.6,29.5,214,-34
Willie Snead,WR88,8,148,306,245.2,33.9,249,0
Dwayne Haskins,QB32,10,154,475,248,34.2,282,32
John Ross,WR89,9,141,296,234.8,35.1,293,42
J.J. Arcega-Whiteside,WR90,10,119,299,230.6,42.7,222,-30
Mike Gesicki,TE26,5,158,297,249.2,36.2,252,-1
Josh Rosen,QB33,5,189,337,253.7,23,324,70
Case Keenum,QB34,10,159,344,255.3,26.1,338,83
Benny Snell Jr.,RB73,7,99,422,236.3,37.4,316,60
Corey Clement,RB74,10,194,403,241.9,32.5,328,71
Daniel Jones,QB35,11,162,367,259.4,31,320,62
Antonio Callaway,WR91,7,130,300,238.9,40.2,242,-17
Carolina (CAR),DST20,7,175,306,253.4,32.4,278,18
Danny Amendola,WR92,5,177,333,253.7,31.2,271,10
Wayne Gallman,RB75,11,197,455,251.5,38.4,301,39
Dontrell Hilliard,RB76,7,152,408,235.5,42.5,263,0
Dexter Williams,RB77,11,143,420,245,45.3,288,24
Jordan Wilkins,RB78,6,184,439,252,41.6,363,98
Gerald Everett,TE27,9,136,300,245.3,39,294,28
Phillip Dorsett,WR93,10,139,277,249.2,24,308,41
KeeSean Johnson,WR94,12,142,306,233,37.1,302,34
Terry McLaurin,WR95,10,95,320,232.9,46.6,374,105
Josh Reynolds,WR96,9,164,304,256.7,25,292,22
Brian Hill,RB79,9,136,325,232.9,35.2,281,10
Chris Conley,WR97,10,158,322,259.1,31,330,58
Bilal Powell,RB80,4,167,382,262.9,31.4,345,72
Theo Riddick,RB81,10,153,418,255.2,30.4,309,35
Aldrick Rosas,K15,11,178,307,251.7,28.9,257,-18
Hunter Renfrow,WR98,6,113,323,229.2,50.1,284,8
Breshad Perriman,WR99,7,122,318,256,33.9,343,66
Devontae Booker,RB82,10,197,468,264,37,332,54
Preston Williams,WR100,5,89,300,219.6,37.6,260,-19
Ryan Tannehill,QB36,11,211,426,274.6,29.7,371,91
Demaryius Thomas,WR101,10,140,361,244.5,39,236,-45
Matt Bryant,K16,9,171,345,225.7,39.9,216,-66
Chris Boswell,K17,7,172,302,254.8,31,228,-55
Qadreellison,RB83,9,190,309,256.5,23.5,283,-1
Jason Witten,TE28,8,133,325,246.9,40.6,211,-74
Keelan Cole,WR102,10,187,329,262.8,26.5,362,76
Josh Adams,RB84,4,109,457,252.2,47,,
Alfred Blue,RB85,10,150,433,246.9,40,318,30
Green Bay (GB),DST21,11,170,323,248.5,37.5,220,-69
Elijah McGuire,RB86,7,114,288,221.8,43.6,,
Dan Bailey,K18,12,184,316,250.6,29.5,268,-23
Josh Doctson,WR103,12,168,430,250.6,39.4,287,-5
Jordan Scarlett,RB87,7,169,452,255.7,45.2,,
Jalen Hurd,WR104,4,121,336,252.5,40.5,269,-25
Myles Gaskin,RB88,5,205,463,272.3,38.4,297,2
Wendell Smallwood,RB89,10,210,469,274.8,44.7,352,56
Darren Sproles,RB90,10,159,396,258.7,36.9,383,86
Ty Johnson,RB91,5,143,382,245.3,37.2,379,81
Alfred Morris FA,RB92,,146,419,270.3,33.7,280,-19
Will Dissly,TE29,11,151,303,241,39.6,290,-10
Chris Hogan,WR105,7,184,337,264.3,26,333,32
Cameron Brate,TE30,7,162,320,247.2,32.4,233,-69
Trayveon Williams,RB93,9,187,421,277.6,37,250,-53
Doug Martin FA,RB94,,162,471,251.6,46.7,321,17
Jaron Brown,WR106,11,151,350,234.1,46.9,351,46
Atlanta (ATL),DST22,9,176,301,242.1,30.6,266,-40
John Kelly,RB95,9,201,439,266.4,36.7,,
Mike Boone,RB96,12,160,426,268.7,41.5,,
Travis Benjamin,WR107,12,151,321,241.4,30.7,311,2
Spencer Ware,RB97,6,200,467,264.7,43.8,342,32
Darrel Williams,RB98,12,181,412,276.9,32.3,244,-67
Taywan Taylor,WR108,7,210,454,271.3,41.8,322,10
Ian Thomas,TE31,7,183,299,253.2,28.5,310,-3
Jakobi Meyers,WR109,10,105,303,240.1,41.4,259,-55
Michael Crabtree,WR110,12,151,330,244.7,49.6,346,31
Taysom Hill,QB37,9,230,460,285.1,39.6,,
Washington (WAS),DST23,10,168,321,257.4,40.9,237,-80
Damarea Crockett,RB99,6,150,372,248.6,46.7,289,-29
Jake Kumerow,WR111,11,181,383,270.1,43.3,279,-40
Cordarrelle Patterson,WR112,6,194,310,258.5,26,344,24
Ameer Abdullah,RB100,12,223,320,280.5,17.7,,
New York (NYJ),DST24,4,178,357,252.9,40.2,285,-37
Rod Smith,RB101,11,227,347,274,23.1,,
Mike Weber,RB102,8,162,409,272,38.2,,
Diontae Johnson,WR113,7,168,350,260.7,40.4,253,-72
Mark Walton,RB103,5,214,405,276.5,37.1,394,68
Detroit (DET),DST25,5,171,319,266.3,31.7,298,-29
Demarcus Robinson,WR114,12,187,304,261.6,26.1,286,-42
Arizona (ARI),DST26,12,172,352,264.3,36.8,276,-53
Hayden Hurst,TE32,8,216,316,256.7,27.4,331,1
DeAndre Washington,RB104,6,200,324,257.9,31.4,,
Cameron Artis-Payne FA,RB105,,237,454,276.1,40.7,347,15
D'Onta Foreman FA,RB106,,101,286,196,41.1,403,70
Brandon McManus,K19,10,183,333,257,38.2,296,-38
Ryan Succop,K20,11,182,335,259.8,33.9,275,-60
New York (NYG),DST27,11,169,404,271.1,50.3,325,-11
Josh Lambo,K21,10,180,307,253.8,38.2,315,-22
Jakeem Grant,WR115,5,135,338,260.7,41,393,55
Raheem Mostert,RB107,4,141,427,271.7,56.2,,
Devinezigbo,RB108,10,206,401,263.9,44.5,,
Deon Cain,WR116,6,211,363,268.5,38.6,339,-2
Irv Smith Jr.,TE33,12,165,346,265.7,41.4,267,-75
Matt LaCosse,TE34,10,155,366,266,38.3,262,-81
Drew Lock,QB38,10,218,435,298.9,41.9,359,15
Geoff Swaim,TE35,10,204,370,268.2,39.7,356,11
Giorgio Tavecchio FA,K22,,187,302,244.9,39.6,234,-112
San Francisco (SF),DST28,4,202,330,277.6,38.1,254,-93
Jay Ajayi FA,RB109,,157,399,237.1,58.3,303,-45
Benjamin Watson,TE36,10,228,321,267.1,24,272,-77
Karan Higdon,RB110,10,197,331,269.9,26.4,,
Trent Taylor,WR117,4,208,358,257.7,35.9,386,35
C.J. Uzomah,TE37,9,195,368,272.6,46,348,-4
Charles Clay,TE38,12,232,347,290.6,30.6,,
Keith Kirkwood,WR118,9,204,355,280.5,32.2,,
Jeff Wilson,RB111,4,230,318,268.9,25.8,,
Damion Willis,WR119,9,183,328,258.1,35.7,,
Steven Hauschka,K23,6,181,341,273.5,35.7,304,-53
Blake Bortles,QB39,9,227,433,306.7,45.5,367,9
Daniel Carlson,K24,6,179,329,276,33.5,305,-54
Trenton Cannon,RB112,4,226,438,295.9,44.1,,
Matt Gay,K25,7,190,441,271.6,55.6,270,-91
Bruce Anderson FA,RB113,,177,470,256.6,68,306,-56
Austin Seibert,K26,7,191,427,264.3,53.3,226,-137
Vernon Davis,TE39,10,205,407,284.1,48.4,314,-50
Travis Homer,RB114,11,231,446,298.5,44.7,,
Ricky Seals-Jones,TE40,7,176,472,295.9,60,337,-29
Cody Latimer,WR120,11,178,343,270.6,42,,
Blake Jarwin,TE41,8,194,329,271.3,31.8,341,-27
Tampa Bay (TB),DST29,7,217,359,301.4,32.4,392,23
Dwayne Washington,RB115,9,263,391,301.9,31.8,,
Miami (MIA),DST30,5,167,437,302.2,53.4,307,-64
C.J. Prosise,RB116,11,214,406,290.8,35.5,388,16
Greg Joseph FA,K27,,178,401,264.5,55.5,380,7
Jonnu Smith,TE42,11,217,333,267.7,34.7,400,26
Zach Zenner FA,RB117,,259,318,288.4,15,340,-35
Nick Vannett,TE43,11,208,342,291.2,31.9,369,-7
Chad Beebe,WR121,12,174,353,277.3,34.9,,
Nick Mullens,QB40,4,248,463,308.6,55.3,,
Justin Watson,WR122,7,202,369,280.4,40.6,,
Bryce Love,RB118,10,184,459,296.8,58.8,402,22
Jesse James,TE44,5,207,361,287.6,41.1,350,-31
Dawson Knox,TE45,6,193,372,289.5,46.5,382,0
Tyler Higbee,TE46,9,156,367,290.8,47.7,,
Joshliver,TE47,10,188,338,282.2,45.3,395,11
Cairo Santos,K28,11,240,326,282.9,23.7,,
Adam Shaheen,TE48,6,109,370,287.3,50.3,,
Chris Moore,WR123,8,196,397,290.1,63.2,240,-147
Tyler Kroft,TE49,6,203,373,306.8,42.1,399,11
Joey Slye,K29,7,189,431,277.9,59.6,319,-70
Kelvin Harmon,WR124,10,195,396,297.3,53.2,248,-142
Ryan Grant,WR125,6,257,379,308,39.9,,
J'Mon Moore FA,WR126,,229,459,290,63,,
Jordan Akins,TE50,10,233,428,312,52.3,,
Tim Patrick,WR127,10,192,375,289.4,51.2,361,-33
Mike Davis FA,WR128,,122,233,181.2,38.5,,
Jace Sternberger,TE51,11,203,458,312,71.1,,
J.D. McKissic,RB119,5,240,401,297,41,,
Kyle Juszczyk,RB120,4,232,299,277.9,15.5,353,-45
LeGarrette Blount FA,RB121,,257,316,278.6,18.1,,
Andre Ellington FA,RB122,,208,296,249,25.8,398,-2
Cameron Meredith,WR129,10,270,457,339.2,62.6,,
Eddy Pineiro,K30,6,210,429,285,62,295,-107
Paul Perkins,RB123,11,260,437,322.8,51.3,,
Ryan Switzer,WR130,7,191,414,301.9,53.6,397,-7
Darius Slayton,WR131,11,264,371,323.9,34.4,,
Alex Collins FA,RB124,,218,250,238.8,6.5,329,-77
D'Ernest Johnson,RB125,7,209,436,307.4,55.6,,
Javorius Allen FA,RB126,,253,315,282,16.5,,
Jordan Thomas,TE52,10,195,378,309.6,44,364,-45
Chris Ivory FA,RB127,,271,317,286.2,15.2,373,-37
Dustin Hopkins,K31,10,209,330,286.5,28,326,-85
Riley Ridley,WR132,6,213,412,336.1,50.3,274,-138
Zane Gonzalez,K32,12,208,419,291,64,,
Gary Jennings,WR133,11,201,376,316.9,42.9,391,-23
Buddy Howell,RB128,10,120,310,256.4,39.3,,
Demetrius Harris,TE53,7,249,361,320.3,36.8,377,-39
Oakland (OAK),DST31,6,241,388,321,37.6,277,-140
Cincinnati (CIN),DST32,9,219,410,326.9,46.4,299,-119
Reggie Bonnafon,RB129,7,245,299,273,19,,
Dontrelle Inman,WR134,12,265,427,342,53.7,396,-24
Allen Hurns,WR135,5,289,426,342,46.3,,
Detrez Newsome,RB130,12,232,404,290.4,60.1,,
Brian Hoyer,QB41,6,231,479,324.3,71.3,,
Corey Grant FA,RB131,,237,321,294.8,14.6,,
Teddy Bridgewater,QB42,9,268,466,346,71.1,,
Elijah Holyfield,RB132,7,183,319,295.8,16.3,,
Chandler Catanzaro FA,K33,,229,306,261,28.3,,
Randy Bullock,K34,9,273,331,303.4,20.1,327,-101
Jordan Matthews FA,WR136,,261,341,303.6,28.1,354,-75
Jeff Heuerman,TE54,10,210,363,333.8,36.8,384,-46
Seth Roberts,WR137,8,265,373,335.5,44.3,355,-76
Kendrick Bourne,WR138,4,294,388,338.8,36,336,-96
Boston Scott,RB133,10,258,299,280.8,14.9,,
Tyrod Taylor,QB43,12,276,456,346.7,72.8,,
Blake Bell,TE55,12,271,444,350,58,,
Chester Rogers,WR139,6,237,431,350.5,44,349,-87
Alex Erickson,WR140,9,285,371,327,31.8,,
Jake Butt,TE56,10,287,391,333.2,39.1,,
Mo Alie-Cox,TE57,6,292,359,333.2,29.6,,
Tavon Austin,WR141,8,257,381,333.4,41.3,,
Cody Parkey FA,K35,,184,297,243.7,46.3,,
Josh Hill,TE58,9,262,389,358.3,17.4,,
J.J. Nelson,WR142,6,128,359,339.4,13,,
Isaiah McKenzie,WR143,6,191,423,340,78.4,360,-84
Kahale Warring,TE59,10,257,376,340.2,37.5,,
Bennie Fowler,WR144,11,310,400,342.4,37.7,,
Jason Sanders,K36,5,292,353,313,24,375,-72
Jarius Wright,WR145,7,194,371,348.6,19,357,-91
Russell Shepard,WR146,11,293,403,349.8,45.2,,
Emmanuel Butler,WR147,9,261,396,321.3,51.7,,
Justin Hardy,WR148,9,274,397,352.2,41.8,,
Kelvin Benjamin FA,WR149,,252,293,273.3,16.8,,
Nick'Leary,TE60,5,295,385,354.6,33.8,,
Rhett Ellison,TE61,11,283,369,327.3,32.3,,
Trent Sherfield,WR150,12,269,389,331.5,47.5,,
Marcus Murphy FA,RB134,,262,321,287,24.9,,
Xavier Grimble,TE62,7,282,442,362.2,51.4,,
Kaare Vedvik,K37,4,277,309,291,13.4,,
Foster Moreau,TE63,6,274,405,365.2,34.5,401,-58
Josh Ferguson FA,RB135,,159,262,210.5,51.5,,
Jeremy Hill FA,RB136,,278,324,299.7,18.9,,
