OVERALL,POS,BYE,BEST,WORST,AVG,STD DEV,ADP,VS. ADP
Antonio Brown,WR1,8,1,4,1.2,0.5,1,0
Julio Jones,WR2,11,1,6,2.4,0.8,2,0
Odell Beckham Jr.,WR3,8,1,12,4.1,1.9,3,0
David Johnson,RB1,9,1,37,5,4.5,4,0
Todd Gurley,RB2,8,2,28,7.3,4.5,5,0
A.J. Green,WR4,9,4,16,7.5,2.7,7,1
DeAndre Hopkins,WR5,9,3,22,8.5,3.8,6,-1
Rob Gronkowski,TE1,9,6,40,10.3,5.6,11,3
Ezekiel Elliott,RB3,7,2,32,11.1,5.6,10,1
Lamar Miller,RB4,9,3,34,11.2,5.1,12,2
Allen Robinson,WR6,5,4,24,12.2,4.2,9,-2
Adrian Peterson,RB5,6,2,32,12.2,5.6,8,-4
Keenan Allen,WR7,11,5,27,14.9,4.6,15,2
Dez Bryant,WR8,7,4,35,15.7,6.6,13,-1
Brandon Marshall,WR9,11,4,46,17.1,6.6,16,1
Le'Veon Bell S,RB6,8,4,72,18.5,9.6,14,-2
Mike Evans,WR10,6,7,64,18.8,7.3,20,3
Devonta Freeman,RB7,11,3,90,18.8,11.5,17,-1
Jordy Nelson,WR11,4,9,38,20.3,5.5,19,0
Alshon Jeffery,WR12,9,10,47,20.7,6.5,21,1
Mark Ingram,RB8,5,6,47,22.1,7.6,24,3
Brandin Cooks,WR13,5,6,48,22.8,6.3,23,1
Amari Cooper,WR14,10,10,46,24.8,7.3,22,-1
LeSean McCoy,RB9,10,10,51,25.5,7.4,25,1
Jamaal Charles,RB10,5,7,72,26.8,13.6,18,-7
Eddie Lacy,RB11,4,12,59,29.1,8.9,26,0
Jarvis Landry,WR15,8,8,61,29.4,8.9,30,3
T.Y. Hilton,WR16,10,8,83,29.6,11.8,28,0
Doug Martin,RB12,6,14,68,29.9,10.1,31,2
Sammy Watkins,WR17,10,13,89,30.5,12.5,29,-1
Demaryius Thomas,WR18,11,16,66,30.5,9.1,27,-4
C.J. Anderson,RB13,11,14,80,33.7,9.8,35,3
Randall Cobb,WR19,4,18,53,35.8,9.3,32,-1
Julian Edelman,WR20,9,19,76,37.4,11.5,33,-1
Jeremy Maclin,WR21,5,23,64,37.9,7.5,36,1
Cam Newton,QB1,7,23,62,38.1,8.7,37,1
Jordan Reed,TE2,9,28,61,38.1,6.1,34,-3
