OVERALL,POS,BYE,BEST,WORST,AVG,STD DEV,ADP,VS. ADP
Golden Tate,WR22,10,21,101,40.6,13.1,38,0
Aaron Rodgers,QB2,4,29,62,39.6,8.9,43,4
Latavius Murray,RB14,10,25,90,43.5,12.1,41,1
Carlos Hyde,RB15,8,19,104,43.6,13.5,44,3
Eric Decker,WR23,11,24,64,44.4,8.2,47,5
Matt Forte,RB16,11,26,99,44.7,12.4,40,-3
Donte Moncrief,WR24,10,24,85,47,12.7,46,2
Greg Olsen,TE3,7,30,82,48,8.7,45,0
Danny Woodhead,RB17,11,5,99,49.8,16.8,53,7
Doug Baldwin,WR25,5,30,86,51.8,10,49,2
Russell Wilson,QB3,5,30,74,49.8,8.4,56,8
DeMarco Murray,RB18,13,11,134,52.8,18.8,48,-1
Larry Fitzgerald,WR26,9,27,92,55.2,12.6,50,0
Giovani Bernard,RB19,9,28,86,55.5,12,61,10
Thomas Rawls,RB20,5,29,108,56.2,17.1,42,-10
Andrew Luck,QB4,10,27,94,54.2,12.1,54,1
Jordan Matthews,WR27,4,14,91,56.4,12.9,55,1
Michael Floyd,WR28,9,28,124,58.2,16.1,52,-3
Travis Kelce,TE4,5,37,92,58.6,14.2,57,1
Kelvin Benjamin,WR29,7,24,89,59,14.3,39,-18
Duke Johnson,RB21,13,33,95,59,15,59,1
Jeremy Hill,RB22,9,36,111,60.8,17.8,58,-1
Drew Brees,QB5,5,34,96,58.9,10.4,64,4
Delanie Walker,TE5,13,37,92,61,12.1,60,-1
Jeremy Langford,RB23,9,22,100,62.7,16.5,51,-11
Ryan Mathews,RB24,4,33,171,63.8,19.7,63,0
Emmanuel Sanders,WR30,11,39,92,65.2,11.2,62,-2
Marvin Jones,WR31,10,39,101,65.6,14.8,65,0
Jonathan Stewart,RB25,7,19,106,69,17.4,72,6
Melvin Gordon,RB26,11,25,143,70.7,19.2,70,3
Frank Gore,RB27,10,31,120,70.7,19.1,75,7
Michael Crabtree,WR32,10,50,112,71.4,11.5,77,8
Coby Fleener,TE6,5,37,158,72.3,21.3,66,-4
John Brown,WR33,9,47,112,72.5,13.1,67,-4
Tyler Lockett,WR34,5,25,127,75.7,15.1,73,1
Ben Roethlisberger,QB6,8,48,124,74.6,16.8,74,1
Arian Foster,RB28,8,20,148,76.8,23.5,68,-6
Allen Hurns,WR35,5,20,159,77.8,17.7,69,-6
Carson Palmer,QB7,9,56,114,76.6,12.9,80,4
Ameer Abdullah,RB29,10,36,126,82.8,17.1,81,4
Rashad Jennings,RB30,8,54,133,83.3,18,82,4
Matt Jones,RB31,9,38,133,82.5,18.5,71,-8
Charles Sims,RB32,6,56,160,84.5,17.2,87,7
DeSean Jackson,WR36,9,55,130,84.6,16.4,83,2
Gary Barnidge,TE7,13,59,120,87.2,13.4,91,9
Eli Manning,QB8,8,54,147,85.8,16.8,94,11
Zach Ertz,TE8,4,37,147,88.4,16.9,84,0
Josh Gordon S,WR37,13,19,206,86.1,26.7,79,-6
T.J. Yeldon,RB33,5,37,132,91.8,18.7,92,6
Theo Riddick,RB34,10,50,159,89.5,21.8,98,11
Devante Parker,WR38,8,55,166,91.3,24.1,78,-10
Blake Bortles,QB9,5,45,192,91.7,23.5,88,-1
Philip Rivers,QB10,11,55,176,93.8,20.4,101,11
Willie Snead,WR39,5,60,196,95.6,19.3,99,8
Julius Thomas,TE9,5,42,137,94.5,18.1,90,-2
Antonio Gates,TE10,11,65,148,96.4,17.9,100,7
Sterling Shepard,WR40,8,56,182,95,23.6,93,-1
Chris Ivory,RB35,5,51,148,97.5,19.7,89,-6
Kevin White,WR41,9,55,161,97.5,21.8,86,-10
Tom Brady S,QB11,9,48,173,98.3,23.3,76,-21
Corey Coleman,WR42,13,56,166,98.2,22,102,4
Stefon Diggs,WR43,6,71,159,102.9,19.6,97,-2
Bilal Powell,RB36,11,68,198,105.2,18.5,104,4
DeAngelo Williams,RB37,8,68,172,108.2,21.4,85,-16
Vincent Jackson,WR44,6,73,157,110.8,19.2,121,19
Tavon Austin,WR45,8,64,211,111.4,23.8,114,11
Tyler Eifert D,TE11,9,54,227,111.9,30.3,103,-1
Justin Forsett,RB38,8,16,189,112,23,95,-10
Dwayne Allen,TE12,10,65,180,114.5,23.6,115,9
Travis Benjamin,WR46,11,52,195,114.2,25.1,113,6
Tyrod Taylor,QB12,10,66,158,114.5,18.7,124,16
Derrick Henry,RB39,13,73,200,114.9,25.6,96,-13
Isaiah Crowell,RB40,13,74,174,116.2,20.7,107,-3
Kamar Aiken,WR47,8,68,178,116.8,27.8,111,0
Martellus Bennett,TE13,9,86,178,116.5,19.7,109,-3
Jay Ajayi,RB41,8,54,195,119.3,25.6,106,-7
Derek Carr,QB13,10,62,192,118.1,21.9,108,-6
Kirk Cousins,QB14,9,66,195,119.4,23.5,117,2
Torrey Smith,WR48,8,69,207,119.1,28.5,116,0
James White,RB42,9,26,220,116.1,41.2,125,8
Matthew Stafford,QB15,10,69,172,121.9,17.5,126,8
Jason Witten,TE14,7,87,193,124.5,21.6,129,10
Devin Funchess,WR49,7,78,176,122.6,24.6,122,2
Markus Wheaton,WR50,8,83,193,124.4,21.1,119,-2
Jameis Winston,QB16,6,57,169,125.1,22.7,127,5
Tevin Coleman,RB43,11,42,189,125.2,24.4,110,-13
LeGarrette Blount,RB44,9,80,199,125.3,26,105,-19
Andy Dalton,QB17,9,72,194,129.1,23.2,145,20
Mohamed Sanu,WR51,11,75,199,130.1,27.3,133,7
Eric Ebron,TE15,10,87,180,128,21.9,130,3
Darren Sproles,RB45,4,41,205,127.6,30.2,120,-8
Steve Smith,WR52,8,62,201,126.7,25.7,141,12
Shane Vereen,RB46,8,84,206,129.6,27.6,132,2
Phillip Dorsett,WR53,10,84,192,135.5,21.1,140,9
Michael Thomas,WR54,5,84,244,132.8,26.3,123,-9
Rishard Matthews,WR55,13,58,187,131.4,27,151,18
Marcus Mariota,QB18,13,79,193,137.4,24.7,144,10
Zach Miller,TE16,9,90,181,138.2,19.5,148,13
Jimmy Graham,TE17,5,82,198,141.3,25.1,118,-18
Seattle Seahawks,DST1,5,102,181,139.6,11,136,-1
Jerick McKinnon,RB47,6,99,215,143.7,28.6,135,-3
DeAndre Washington,RB48,10,84,216,143.8,28.6,153,14
Matt Ryan,QB19,11,107,227,145.3,24.1,146,6
Denver Broncos,DST2,11,120,182,143,11.4,128,-13
Christine Michael,RB49,5,63,221,140.8,33.5,137,-5
Tajae Sharpe,WR56,13,60,240,136.6,37.4,139,-4
Mike Wallace,WR57,8,74,224,144.8,30.1,167,23
Tyler Boyd,WR58,9,82,245,146.1,29.7,158,13
Ryan Tannehill,QB20,8,74,210,146.9,23.2,166,20
Charles Clay,TE18,10,98,235,150.9,26.3,174,27
Pierre Garcon,WR59,9,86,198,147.1,24,182,34
Arizona Cardinals,DST3,9,120,184,148.8,12.8,134,-15
Spencer Ware,RB50,5,83,241,146.4,38.7,168,18
Jared Cook,TE19,4,90,209,152.3,23.7,150,-1
Chris Thompson,RB51,9,75,216,147.4,31.4,157,5
Dion Lewis,RB52,9,37,242,150.8,50.9,112,-41
C.J. Prosise,RB53,5,93,192,149.6,27.5,159,5
James Starks,RB54,4,61,238,153.4,29.4,149,-6
Laquon Treadwell,WR60,6,75,228,149.4,35.3,131,-25
Ryan Fitzpatrick,QB21,11,107,210,152.9,24.7,183,26
Javorius Allen,RB55,8,94,245,152.8,30.3,170,12
Devontae Booker,RB56,11,77,207,154.3,25.5,138,-21
Clive Walford,TE20,10,82,197,157.2,22,200,40
Kenneth Dixon,RB57,8,88,199,153.6,29.1,189,28
Chris Hogan,WR61,9,91,242,156,29.1,165,3
Will Fuller,WR62,9,83,249,159.2,36.5,171,8
Carolina Panthers,DST4,7,123,196,160.7,13.6,142,-22
Anquan Boldin,WR63,10,93,224,157.3,27,216,51
Sammie Coates,WR64,8,114,246,162.2,26.4,147,-19
Vance McDonald,TE21,8,92,248,158.7,30.5,207,40
Houston Texans,DST5,9,136,222,165.2,16.6,152,-16
Dorial Green-Beckham,WR65,4,83,242,162.6,36,162,-7
Kendall Wright,WR66,13,80,245,161.2,33.4,198,28
Terrance Williams,WR67,7,116,220,167,22,213,42
Austin Seferian-Jenkins,TE22,6,122,255,168.9,27.5,163,-9
Jordan Cameron,TE23,8,109,242,169.4,25,214,41
Shaun Draughn,RB58,8,94,245,166.5,36.6,222,48
Kyle Rudolph,TE24,6,122,240,172.8,22.5,233,58
Ladarius Green,TE25,8,85,234,162.8,37.3,160,-16
Josh Doctson,WR68,9,96,239,172.3,30.9,209,32
Joe Flacco,QB22,8,111,218,173.2,24.2,215,37
Jay Cutler,QB23,9,123,244,175.2,22.1,231,52
Jordan Howard,RB59,9,127,209,171.3,22.9,188,8
Chris Johnson,RB60,9,118,229,175.5,26.3,175,-6
Terrance West,RB61,8,111,226,172.6,28.6,195,13
Tony Romo,QB24,7,76,268,152.9,51.1,186,3
Virgil Green,TE26,11,125,261,172.7,27.7,237,53
Will Tye,TE27,8,87,259,176,28.3,240,55
Kenny Stills,WR69,8,92,245,162,38.3,193,7
Los Angeles Rams,DST6,8,136,235,177.5,20.3,169,-18
Darren McFadden,RB62,7,82,240,175.8,32,230,42
Tim Hightower,RB63,5,113,235,176.3,27.5,228,39
Ted Ginn,WR70,7,130,228,179.2,27.1,191,1
Bruce Ellington,WR71,8,89,248,158.6,38.4,196,5
Nelson Agholor,WR72,4,103,243,179.4,28.6,192,0
C.J. Spiller,RB64,5,108,243,178,36,241,48
Jamison Crowder,WR73,9,54,248,178.3,35.6,251,57
Robert Woods,WR74,10,130,244,176.9,28.6,248,53
Alex Smith,QB25,5,117,237,182.8,25.4,225,29
Breshad Perriman,WR75,8,114,237,177.3,25.3,204,7
Robert Griffin,QB26,13,103,245,181.8,34.6,194,-4
Alfred Morris,RB65,7,127,236,180.7,26.5,154,-45
Kansas City Chiefs,DST7,5,139,230,182.8,18.8,156,-44
Davante Adams,WR76,4,82,232,184.7,30.9,236,35
New England Patriots,DST8,9,137,222,183.7,14.9,177,-25
Brandon LaFell,WR77,9,117,262,183.6,26.7,270,67
Minnesota Vikings,DST9,6,135,243,188.2,29.5,164,-40
Charcandrick West,RB66,5,48,244,183.8,34.3,179,-26
Dak Prescott,QB27,7,115,266,182.3,35.9,197,-9
Paul Perkins,RB67,8,144,242,189.3,23,205,-2
Cincinnati Bengals,DST10,9,142,273,191.2,25.2,190,-18
Jesse James,TE28,8,139,264,183.2,30.9,258,49
Eli Rogers,WR78,8,117,237,177,28.3,245,35
Jermaine Kearse,WR79,5,115,241,188.6,28.8,246,35
Wendell Smallwood,RB68,4,106,250,190.7,31.8,201,-11
Benny Cunningham,RB69,8,153,242,179.7,18.9,278,65
Brock Osweiler,QB28,9,130,247,191.9,26.9,203,-11
New York Jets,DST11,11,149,223,187.8,15.2,184,-31
Jaelen Strong,WR80,9,119,240,192.5,27.9,199,-17
Andre Ellington,RB70,9,116,239,190.8,25.3,255,38
Buffalo Bills,DST12,10,138,281,195.5,28.2,217,-1
Kenny Britt,WR81,8,129,238,193.2,27,292,73
Reggie Bush,RB71,10,99,221,171.7,33.4,249,29
Terrelle Pryor,WR82,13,149,240,186.4,22.8,180,-41
Karlos Williams FA,RB72,,124,284,186.2,45,220,-2
Cameron Artis-Payne,RB73,7,130,246,198.9,28.9,257,34
Chris Conley,WR83,5,160,249,193.5,25.1,283,59
Ronnie Hillman,RB74,11,111,247,191.7,37,221,-4
Stephen Gostkowski,K1,9,101,300,209,33.1,143,-83
Cameron Brate,TE29,6,128,291,195.4,33.4,272,45
Mike Gillislee,RB75,10,98,246,194.6,36.7,290,62
Josh Ferguson,RB76,10,134,282,200.5,32.7,212,-17
Robert Kelley,RB77,9,140,246,192.4,32.6,262,32
Tyler Higbee,TE30,8,119,231,184.3,27.5,254,23
Lance Dunbar,RB78,7,94,234,196.2,37.8,243,11
Danny Amendola,WR84,9,125,244,198.2,24.7,267,34
Richard Rodgers,TE31,4,131,253,201.3,27,266,32
Kenjon Barner,RB79,4,100,247,186.5,46.8,232,-3
Eddie Royal,WR85,9,134,271,208.2,32.4,342,106
Victor Cruz,WR86,8,155,294,206.1,31.2,208,-29
Green Bay Packers,DST13,4,141,274,209,31.6,229,-9
Rueben Randle FA,WR87,,145,256,191.7,30.7,250,11
Kenyan Drake,RB80,8,149,247,202,25.6,224,-16
Oakland Raiders,DST14,10,151,277,208,34.1,223,-18
Seth Roberts,WR88,10,138,247,201,28.5,322,80
Charles Johnson,WR89,6,114,244,199.6,35.8,280,37
Pittsburgh Steelers,DST15,8,155,300,202.5,37.8,238,-6
Jacob Tamme,TE32,11,147,290,204.8,30.6,219,-26
Tyler Ervin,RB81,9,159,243,203.1,26.3,298,52
Austin Hooper,TE33,11,139,228,199.7,21.5,,
Cole Beasley,WR90,7,151,249,208.8,29.1,303,55
Keith Marshall,RB82,9,153,242,198.2,25.6,247,-2
Robert Turbin,RB83,10,160,265,209.5,27.9,286,36
Braxton Miller,WR91,9,164,243,202.7,23.2,260,9
Maxx Williams,TE34,8,176,258,206.7,23.2,,
Andre Johnson,WR92,13,72,244,204.9,54.8,347,94
Malcolm Mitchell,WR93,9,123,233,197.5,31.7,253,-1
Ka'Deem Carey,RB84,9,154,247,211.5,26.8,273,18
Philadelphia Eagles,DST16,4,146,299,210.8,42.4,226,-30
Quinton Patton,WR94,8,146,242,198.2,24.3,206,-51
Darrius Heyward-Bey,WR95,8,137,250,201.9,26.4,317,59
Mike Thomas,WR96,8,119,211,164.3,37.6,,
Tyrell Williams,WR97,11,156,243,200.5,23.7,277,17
Justin Hardy,WR98,11,157,251,210.6,25.3,244,-17
Khiry Robinson,RB85,11,153,280,213,34.6,321,59
Jonathan Williams,RB86,10,165,214,183.8,16.9,287,24
Brandon Coleman,WR99,5,161,253,217.3,31.1,252,-12
Tyler Gaffney,RB87,9,153,238,197.3,26.1,227,-38
Pharoh Cooper,WR100,8,160,261,212.4,24.7,279,13
Zach Zenner,RB88,10,168,264,216.4,22.8,276,9
Steven Hauschka,K2,5,152,311,216.7,47.1,155,-113
Larry Donnell,TE35,8,162,292,216.7,36,,
Crockett Gillmore,TE36,8,165,259,210,23.4,293,23
Washington Redskins,DST17,9,144,298,227.8,62.9,299,28
Marqise Lee,WR101,5,166,229,188.3,28.8,234,-38
Dontrelle Inman,WR102,11,157,210,182.3,21.7,335,62
Jacquizz Rodgers,RB89,9,172,241,203.4,24.7,,
Jacksonville Jaguars,DST18,5,166,275,215.5,28.5,268,-7
Lance Kendricks,TE37,8,166,266,213.3,21.9,,
TJ Jones,WR103,10,142,246,209,47.5,,
Dan Bailey,K3,7,153,312,219.7,67.4,173,-105
Justin Tucker,K4,8,154,310,219,66.3,161,-118
Adam Humphries,WR104,6,170,273,208.5,40.8,,
Niles Paul,TE38,9,168,269,213.2,36.6,,
Alfred Blue,RB90,9,178,281,218,38.1,323,41
Mason Crosby,K5,4,157,315,222.3,67.3,176,-107
Adam Vinatieri,K6,10,155,316,223,68.1,185,-99
Dexter McCluster,RB91,13,165,277,208.3,34.2,333,48
DeAndre Smelter,WR105,8,170,249,208.8,22.8,,
David Cobb FA,RB92,,154,252,221,34.6,289,2
Chandler Catanzaro,K7,9,159,308,221.3,63.2,172,-116
Chris Boswell,K8,8,156,319,237.5,81.5,202,-87
Blair Walsh,K9,6,158,318,225,67.9,187,-103
Matt Prater,K10,10,160,322,241,81,256,-35
Jace Amaro,TE39,11,176,289,221.5,28,210,-82
Ty Montgomery,WR106,4,168,295,229.3,37.1,,
Quincy Enunwa,WR107,11,177,260,215.2,31.4,,
Sam Bradford,QB29,4,174,267,212.4,21.4,271,-24
Josh Hill,TE40,5,167,260,213.5,46.5,,
Mychal Rivera,TE41,10,170,262,216,46,,
Hunter Henry,TE42,11,180,237,211.3,16,265,-33
Rashard Higgins,WR108,13,181,239,204.3,25,,
Miami Dolphins,DST19,8,186,282,224.2,28.1,301,1
Jeff Janis,WR109,4,186,245,218.4,20.4,261,-40
Jeremy Kerley,WR110,8,176,220,198,22,,
Dennis Pitta,TE43,8,185,201,193.3,6.5,,
Jared Abbrederis,WR111,4,187,238,214.4,20.6,274,-30
Antonio Andrews,RB93,13,180,248,224.7,31.6,314,9
New York Giants,DST20,8,187,276,219.7,40,285,-21
Brian Quick,WR112,8,184,248,223.5,21.3,,
Leonte Carroo,WR113,8,186,237,212.8,17.1,297,-11
Nate Washington FA,WR114,,186,248,221.1,19.7,334,25
Kyle Juszczyk,RB94,8,187,199,193,6,332,22
Brent Celek,TE44,4,187,257,223,28.6,,
Andre Williams,RB95,8,188,278,238.3,23.6,,
Roberto Aguayo,K11,6,191,324,257.5,66.5,291,-22
Josh Brown,K12,8,192,317,254.5,62.5,282,-32
Albert Wilson,WR115,5,192,272,240.6,26.4,,
Jeff Heuerman,TE45,11,193,293,240,35.6,,
Marcel Reece,RB96,10,196,200,198,2,,
Brandon McManus,K13,11,196,329,260.3,54.4,181,-137
Denard Robinson,RB97,5,198,242,225.8,16.6,319,0
Jarius Wright,WR116,6,198,209,203.5,5.5,,
Cairo Santos,K14,5,200,320,248,51.8,211,-110
Vernon Davis,TE46,9,201,256,225.7,22.8,,
James Jones FA,WR117,,201,234,217.5,16.5,331,8
Blaine Gabbert,QB30,8,206,296,232.9,27.6,288,-36
Andrew Hawkins,WR118,13,206,274,234,29,,
Mike Tolbert,RB98,7,207,226,218.3,8.2,344,18
Jimmy Garoppolo,QB31,9,207,225,216,9,326,-1
Philly Brown,WR119,7,208,245,226.5,18.5,,
Mark Sanchez,QB32,11,208,227,217.5,9.5,315,-14
Jared Goff,QB33,8,208,227,217.5,9.5,300,-30
J.J. Nelson,WR120,9,209,252,230.7,13.8,269,-62
Devin Smith,WR121,11,209,251,234,16.6,,
Baltimore Ravens,DST21,8,211,286,259,34,305,-28
Ryan Griffin,TE47,9,211,265,231,21.8,,
Josh McCown,QB34,13,212,230,221,9,345,10
Case Keenum,QB35,8,213,229,221,8,,
Garrett Celek,TE48,8,214,236,226.3,9.2,,
Paul Richardson,WR122,5,215,249,233.7,14.1,,
Darren Fells,TE49,9,220,268,244,24,,
Cecil Shorts,WR123,9,220,237,228.5,8.5,340,0
Graham Gano,K15,7,223,303,263,40,178,-163
Shaun Hill,QB36,6,223,270,246.5,23.5,,
Jalen Richard,RB99,10,226,283,247.7,25.2,,
Trevor Siemian,QB37,11,226,269,239.6,15.3,264,-80
Alex Collins,RB100,5,226,240,233,5.7,259,-86
Tre Mason,RB101,8,229,241,235,6,324,-22
Cordarrelle Patterson,WR124,6,231,248,239.5,8.5,,
Rashad Greene,WR125,5,235,263,249,14,348,0
New Orleans Saints,DST22,5,237,292,264.5,27.5,,
Owen Daniels FA,TE50,,237,272,254.5,17.5,,
San Francisco 49ers,DST23,8,241,291,266,25,263,-88
Tampa Bay Buccaneers,DST24,6,254,287,270.5,16.5,308,-44
Robbie Gould,K16,9,255,326,290.5,35.5,296,-57
Indianapolis Colts,DST25,10,285,288,286.5,1.5,307,-47
Chicago Bears,DST26,9,286,297,291.5,5.5,312,-43
Matt Bryant,K17,11,287,327,307,20,304,-52
Nick Novak,K18,9,288,328,308,20,302,-55
